"BehaviorSpace results (NetLogo 6.1.1)"
"COVID-19_Urban_and_Rural_Model.nlogo"
"experiment"
"08/29/2020 15:39:32:078 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4","5","5","5","5","5","5","6","6","6","6","6","6","7","7","7","7","7","7","8","8","8","8","8","8"
"retail-mode-phase1","full capacity",,,,,,"full capacity",,,,,,"full capacity",,,,,,"full capacity",,,,,,"full capacity",,,,,,"full capacity",,,,,,"full capacity",,,,,,"full capacity",,,,,
"stay-at-home-phase1","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"social-distance-phase5","false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,
"[reporter]","(count people with [epi-status = ""susceptible""] / total-num) * 100","(count people with [epi-status = ""exposed"" or epi-status = ""infectious""] / total-num) * 100","(count people with [epi-status = ""immune""] / total-num) * 100","(count people with [epi-status = ""dead""] / total-num) * 100","total-num-infected","infections-today","(count people with [epi-status = ""susceptible""] / total-num) * 100","(count people with [epi-status = ""exposed"" or epi-status = ""infectious""] / total-num) * 100","(count people with [epi-status = ""immune""] / total-num) * 100","(count people with [epi-status = ""dead""] / total-num) * 100","total-num-infected","infections-today","(count people with [epi-status = ""susceptible""] / total-num) * 100","(count people with [epi-status = ""exposed"" or epi-status = ""infectious""] / total-num) * 100","(count people with [epi-status = ""immune""] / total-num) * 100","(count people with [epi-status = ""dead""] / total-num) * 100","total-num-infected","infections-today","(count people with [epi-status = ""susceptible""] / total-num) * 100","(count people with [epi-status = ""exposed"" or epi-status = ""infectious""] / total-num) * 100","(count people with [epi-status = ""immune""] / total-num) * 100","(count people with [epi-status = ""dead""] / total-num) * 100","total-num-infected","infections-today","(count people with [epi-status = ""susceptible""] / total-num) * 100","(count people with [epi-status = ""exposed"" or epi-status = ""infectious""] / total-num) * 100","(count people with [epi-status = ""immune""] / total-num) * 100","(count people with [epi-status = ""dead""] / total-num) * 100","total-num-infected","infections-today","(count people with [epi-status = ""susceptible""] / total-num) * 100","(count people with [epi-status = ""exposed"" or epi-status = ""infectious""] / total-num) * 100","(count people with [epi-status = ""immune""] / total-num) * 100","(count people with [epi-status = ""dead""] / total-num) * 100","total-num-infected","infections-today","(count people with [epi-status = ""susceptible""] / total-num) * 100","(count people with [epi-status = ""exposed"" or epi-status = ""infectious""] / total-num) * 100","(count people with [epi-status = ""immune""] / total-num) * 100","(count people with [epi-status = ""dead""] / total-num) * 100","total-num-infected","infections-today","(count people with [epi-status = ""susceptible""] / total-num) * 100","(count people with [epi-status = ""exposed"" or epi-status = ""infectious""] / total-num) * 100","(count people with [epi-status = ""immune""] / total-num) * 100","(count people with [epi-status = ""dead""] / total-num) * 100","total-num-infected","infections-today"
"[final]","99.90867579908675","0","0.091324200913242","0","10","0","83.85388127853881","0","15.890410958904111","0.2557077625570776","1768","0","98.12785388127854","0","1.8356164383561646","0.0365296803652968","205","0","94.31963470319634","0","5.561643835616438","0.1187214611872146","622","0","81.59817351598173","0","18.06392694063927","0.3378995433789954","2015","0","80.10958904109589","0","19.60730593607306","0.2831050228310502","2179","0","92.98630136986301","0","6.894977168949771","0.1187214611872146","768","0","97.97260273972603","0","1.990867579908676","0.0365296803652968","222","0"
"[min]","99.90867579908675","0","0","0","0","0","83.85388127853881","0","0","0","0","0","98.12785388127854","0","0","0","0","0","94.31963470319634","0","0","0","0","0","81.59817351598173","0","0","0","0","0","80.10958904109589","0","0","0","0","0","92.98630136986301","0","0","0","0","0","97.97260273972603","0","0","0","0","0"
"[max]","99.97260273972603","0.091324200913242","0.091324200913242","0","10","4","99.97260273972603","3.8264840182648405","15.890410958904111","0.2557077625570776","1768","46","99.97260273972603","0.3835616438356164","1.8356164383561646","0.0365296803652968","205","15","99.97260273972603","1.2054794520547945","5.561643835616438","0.1187214611872146","622","26","99.97260273972603","3.872146118721461","18.06392694063927","0.3378995433789954","2015","56","99.97260273972603","4.319634703196347","19.60730593607306","0.2831050228310502","2179","84","99.97260273972603","1.7990867579908678","6.894977168949771","0.1187214611872146","768","21","99.97260273972603","0.6666666666666667","1.990867579908676","0.0365296803652968","222","15"
"[mean]","99.91404781090525","0.0121765601217656","0.07377562897305028","0","9.176470588235293","0.09803921568627451","89.81254920484965","1.5955754999212721","8.454731538340416","0.13714375688867908","1114.4741379310344","15.241379310344827","98.85092667203863","0.20727012266093656","0.9228220968752804","0.0189811084251052","125.52941176470588","2.0098039215686274","96.48349641226362","0.6205696890628395","2.8385301152424436","0.05740378343118068","384.51428571428573","5.923809523809524","87.33062456466222","1.7929726801331156","10.663261357480069","0.21314139772463428","1385.7372881355932","17.076271186440678","87.46970495258174","2.1891464699683882","10.200737618545835","0.14041095890410954","1370.6346153846155","20.951923076923077","95.89775270838932","0.7910287402632287","3.2602739726027385","0.050944578744739885","448.3333333333333","7.529411764705882","98.91530128032954","0.23063837407108956","0.8338257677500225","0.020234577849404602","118.25490196078431","2.176470588235294"
"[steps]","101","101","101","101","101","101","115","115","115","115","115","115","101","101","101","101","101","101","104","104","104","104","104","104","117","117","117","117","117","117","103","103","103","103","103","103","101","101","101","101","101","101","101","101","101","101","101","101"

